Document,Topic
cak imin reng kemarin,6
kecap afiliasi gusdurian bukti partai bangkit bangsa suara cetak rekor pilih kemarin nu berat partai adil sejahtera cak imin,40
posting media 01 ah,63
pilih presiden tingkat anies andai giat kampanye anies rakyat puas nilai tentu pilih objectif gimmick2,1
pilih presiden warna anies desak anies legacy anies generasi mile z,-1
 pilih presiden ikut calon presiden 01 berani buka forum diskusi debat resmi komisi pemelihan panelis tanya organik ting bukti beliau berani buka berani adu gagas top notch ,22
cerita banget beda anies pilih gubernur  maju pilih presiden pakai bingung alhamdulillah,1
asing masuk pilih presiden selesai menang anies cancel menang ganjar prabowo berani masuk masuk bodoh anies menang tunggu and see also,41
anies lihat ralat sangkut tambah kayak konteks pilih presiden deh oke maksud kiky narasi pilih presiden,203
bzirlah anies bikin demokrasi pilih presiden level keren ajar gue publik speaking,16
wakil ketua partai bangkit bangsa enggan tanggap guyon nada sindir ketua urus nahdlatul ulama yahya cholil staquf sebut cak imin menang pilih presiden,1
moga anies menang pilih presiden visi miss rekam jejak janji harap,41
anies pikir pas pilih pilih presiden jadi curang,1
bowo stres ganjar mahfud fokus pilih presiden ajang kursus joget sembarang anies,-1
ketua urus nahdlatul ulama cak imin kalah pilih presiden timnas amin biar media online bangun negeri,-1
jujur maju anies pilih presiden naik kelas pilih presiden orang keren,1
 khilafah anies riding the gelombang blundernya ahok ragu  rumus pilih presiden pilih anies pilih legislatif pilih partai demokrasi indonesia juang,16
pilih presiden ajang melih pimpin ajang pilih simpatisan anies presiden meksipun simpatisan langgar tindak visi misi anies adil pasti hukum sejahtera,-1
anies pilih presiden kali serasa hidup jaman voc,1
tanggap timnas anies muhaimin ketua urus nahdlatul ulama yahya cholil staquf prediksi muhaimin kalah pilih presiden berita populer minggu,1
bayang mbak kiki pilih presiden kandidat anies tokoh indonesia perang sipil,39
anies h abdul somad kagum salat kiblat al qur an rasul pilih pilih presiden beda,1
anies mkmk komen dukung  ajeng ikut pilih presiden butuh suara teriak teriak pengaruh,178
gagas calon presiden calon wakil presiden anies kait optimalisasi kelola sektor pajak menjajikan,1
dukung prabowo ganjar parah mulut pikir main media sosial thun2 sebelumny pilih presiden dukung pasang calon suka fitnah isu bohong mulut ajar fakta bilang dukung anis bar2,-1
pilih presiden pilih bebas teman pilih prabowo anies fitnah gp partai demokrasi indonesia juang terus jilat prabowo caci maki,16
upaya gagal calon presiden anis hasil upaya tempuh gagal menang anis rezim takut anis menang pilih presiden,41
tumijan aku debat calon presiden menang anies judul hajat pilih presiden pilih presiden pilwapres,15
ketua urus nahdlatul ulama guyon cak imin kalah pilih presiden kapten timnas amin biar nilai masyarakat,1
anies hidup bidang gagal debat tiga tema dikondisikam prabowo debat kemarin tema gibran enak dukung kuasa lembaga atur otak atik tema pilih presiden,15
kiki aktif banget mentwit pilih presiden tanggap pesawat anies larang landing beliau hak pasang calon temu dukung,-1
anies selagi ramai pilih presiden coba tag pripun nik,1
salah alas mas anies menang biar pilih lihat calon calon cerdas beliau calon maju pilih presiden minimal pikir naik value biar tara gagas mas anies,-1
judul captionnya tvone keri banggeett bikin knock out cak imin  literasi gelar pilih presiden tegas posisi jejak digital,-1
anies kalah pilih presiden habis piki r deh ,1
yeahh i mean no 01 langsung ngeset high bar kriteria proses demokrasi pilih presiden,19
anies kalah salah anies salah dukung bantu galang dukung biar menang pilih presiden,41
struktur organisasi timnas rawan resmi 01 level desa mungut suara posko rakyat ratus ribu saksi pilih presiden ratus ribu saksi pilih legislatif cc,162
anies takutny habis pilih presiden kena kudeta orang,1
pilih pilih presiden coblos amin lihat fan anies nyindir2 illfeel pikir coblos 02 kayak foto gibran tutup pakai tangan,1
berani tampil desak pikir legancy anies pilih presiden,1
dalam luka ahok tambah ceruk suara anies pilih presiden,178
01 jago bohong,7
calon presiden nomor urut 01 anies rasyid baswedan lapor badan reserse kriminal polisi republik indonesia duga nista agama kampanye anies kerap sebut amin,-1
kemarin tuduh anies sebab investor masuk ikn jarang bilang bohong mencla mencle,196
rendah akal sehat data by calon presiden 01 anies rasyid baswedan,0
semangat juang penuh yakin wujud janji stadion anies janji penuh mas anies jakarta tinggal bang sandi,156
mas anies janji rasional ongkos distribusi masuk akal rekam jejak jakarta ajar,-1
bukti anies toleran dengar jual orang diskredit anies radikal intoleran lain pasti mulut bau busuk,-1
anis barangkali puter puter jawab,-1
alhamdulillah isyarat langit satu pilih insyaallah kiai masyayikh alumni lirboyo jubir2 wilayah jawa satu suara amin anies indonesia butuh pimpin adil makmur,9
habis tonton desak anies bareng total politik gue harap orang presiden biar was2 hidup gue tinggal mari,74
anies banget minggu miris banget tingkah dukung anies kasihan anies rusak intregritasnya gara gara duduk allah,-1
akar rumput jabodetabek anies rasyid baswedan barometer daerah indonesia geser laut munafik dusta rakyat,9
barusan patah hati pancen angel dikandani model kayak turut rugi mas anies sila lanjut,-1
lawan berat anies wakil presiden,1
anies baswedan coba hubung masyarakat perempuan partai demokrat jeng paham anies baswedan,16
pilih presiden jalan allah mbak calon presiden orang miskin zaman rasulullah pilih pimpin tolong akan paham agama rezim kuasa anies rezim oposisi,-1
01 wakil umat islam muslim ikut al qur an hadis kata ulama al qur an hadis ikut tanya pilih presiden langsung al qur an mohon,157
anis kalah pilih presiden tuding komisi pemelihan curang,1
 cak imin menang pilih presiden beliau calon wakil presiden menang pilih presiden anies cak imin,41
anies nebak anies asli pilih presiden anies jujur larang event pride hilang suara peru kasih,178
paham angin simak anies baswedan jelas langsung arah mata angin satelit real time pesan beliau rendah akal sehat data,105
anies kunjung pondok pesantren assalafiyah,-1
airlangga tegur jusuf kalla dukung anies berani,-1
anies lawan hadap status quo tantang jalan kuasa,-1
persekusi anies kuat adu badan reserse kriminal akronim amin,100
jalan kalong jawa rakyat dedai tunggu pimpin rindu anies cinta rindu intimasi rakyat figur pimpin kalah rakyat kadung cinta,-1
detik detik mas anies cak hadir diskusi mahasiswa jawa diy calon presiden wakil presiden berani diskusi debat mahasiswa,15
maksud anies sempurna butuh samping ayo usaha bareng mudah please i nothing,-1
tau cowok benar lahir 90an but ofc aman 01 bias as long as bias artis skandal grooming peduli mon maaf orang akal sehat,-1
dukung 01 demokratis mati mati bela cak imin suka kritik pedas,-1
gblok baca buta lihat reply twit 01 line twit paksa tlol,180
kayak duga susup aku kubu 01 nyebar2 isu bohong adu domba dukung,4
01 dynamicnya old married couple,-1
anies  memed pakai data pakai garang eyel,105
bitcoin crypto 01 berubah2 arah angin,176
gila hajar kanan kiri pasang calon 01 jadi,13
pt tolak anies darat bandara pekan,-1
dukung 01 anggap cerdas anggap jomplang masyarakat indonesia tengah masyarakat pilih representasi,-1
media sosial 01 juara,63
tiktok 01 hujat abang,-1
cocok 01 cerdas adab takwa masuk minggir,-1
buzzer banyak jelek 01 netral,53
bang mamat percaya baju transfer 01 ,-1
suka suka atur sembah 01,-1
sok tlol fandom  hype video foto lini tonton ulang ulang pilih saku benci umur spill cewek 01 line are bahagia now that idol is not dating,54
bangsat twit buzzer 01 muncul lini fuck kakak perempuan teror masuk akal,-1
on the way  jalan rumah jamberapa tidur jamberapa jam 01 kerja,84
01 celular do jisung,-1
wakil anak muda pilih 01 solot,101
dukung 01 twit sesuai kadar pedas sebar imbang,-1
mau bikin resah dukung 01,-1
nimpalin wall geram lihat tuit jelek amin sengaja mancing balas tuit bahasa kasar justifikasi dukung 01 arogan dekat pilih kasar tuit,3
buzzer serang ber arti 01 menang,5
dukung anies rawan sumedang aku teror parah ck ck ck,-1
maaf trust isu habis temu akun susup mengatasnamakan dukung 01 suka tebar isu bohong adu domba dukung pasang calon,3
mlihat kapasitas kualitas amin simpatisan dukung peduli patungan kumpul bantu material finansial pasang calon no 01 sukses maju kontestasi,-1
malang pilih amin negara bobrok hancur pimpin orang jahat nan rakus ubah pimpin bawa negara selamat dam makmur alas pilih 01 amin moga allah kabul amin,-1
kelak pilih presiden kurang kurang anies tinggal legacy desak anis pilih brikutnya lgkah brilian tahu isi kepala calon pimpin piikiran tim sukses belaka,1
anies cak imin jawa kandang banteng,-1
suka 01 dukung calon presiden calon wakil presiden bohong,0
gagas rinci track record pimpin 01 no doubt nganjuk,-1
dukung 01 dunia nyata banyak orang orang naiv idealis sok lihat picture negara urus domestik sibuk manis mulut orang susah banget posisi leader kerja,20
kolot kibul manis retorika 01 dungu,2
lihat dukung 01 kalah lucu lucu statemenntnya nyuduti melulu komen nama orang kalah  beginj cari alas,3
anies lucu memang program 01 lihat blio kunjungan2 dengar keluh cerita masyarakat banget konten baru instagram deh gua,29
sindir tumpeng kubu 01 panas gerah bu rayu agus harimurti yudhoyono ambil cak tumpeng,3
anies anies fakta skip skip bilang ribu dukung 01 amin fitnah tebar  dokter tifa,158
anies tuju dukung 01 harap birokrasi rusak salah satu ubah birokrasi rusak muara,-1
pasang calon 01 susah gabung inonesia emas tolak ikn,13
alhamdulillah ijtima ulama dukung pasang calon o1 insya allah pasang 01 pimpin indonesia indonesia amin ayo am1nkan indonesia salam ubah,49
bawa kertas pas cak imin baca catat,6
dukung 01 bodoh2,-1
anies gagas 01 debat debat ajak mahasiswa mahasiswa ajar biar pintar lulus kerja usaha gaji gede bangga orang tua anak muda buk debat bicara orang tua rumah cape cape cari duit biayain anak,8
kerupuk singkong renyah link bio no 01,-1
observenya lengkap kiki kena dukung 01 makan umpan false flag,30
dkmpung calon legislatif pasang foto sndrinya calon dukung calon legislatif salah partai pngusungnya plih anies berani mngatakan disulawesi selatan 01 menang moga,104
lingkup alter cinta segitiga kisah dosa ungkap muscle komentar grup muscle curug inklusif baik politik pecah nyata 01 lbgt id std rendah banget oke no,10
semangat dukung 01 orang usut triluyunan dana tambang ilegal pasang calon kain,-1
anies bocor roy sukro panci bilang mic fungsi lain sebar grup wa dukung pasang calon 01 ngeri kali isu bohong,3
anies dukung 01 sengaja bangun narasi,-1
anies kayak  kiki kena asam sulfat dukung 01 sebar isu bohong pilih pimpin lihat rekam jejak calon bersih masalah mesti paham masyarakat asal2 suka pilih pimpin,4
isu bohong ayo dukung 01 sebar isu bohong,116
jargon 01 indonesia butuh ubah salam pulau flores,34
anies jujur itu dukung pasang calon 01 dicari2 hehe tiap pasang calon kamu bantu retweet tuju jelek ,-1
anies calon rasio masif aku 01 top salut mrk2 sgitu gigih kais dosa,-1
solo goyang 01,2
ubah anies baswedan 01 amin akal waras eks gadai waras integritas harga halu semu akal pikir gaya2an daulat bangsa bahu,3
anies anies buzzer 02 sebar isu bohong fitnah tolong kasih bang lihat ceng2an angin kartu tanda duduk kepret,119
01 dua monyet,-1
mak shaa allah calon presiden 01,0
akun instagram deh sasar buzzer 01 sial,125
semanat dukung 01,2
mush berat 01 buzzer2nya sebar isu bohong ngerangkul masyarakat swing pilih muak skema kotor kayak pikir orang bego kali kayak pilih kepala daerah,4
oi dana 01 sumber rawan kredit bpr telusur lapor,-1
anies bapak grup wa dukung 01 tebar benci,170
hati hati serang dukung 01 dingin,-1
menang 01 ubah maksimal adil tara rata dunia,5
kompak kelompok 01 anies cak imin sukses semangat,55
dasar tukang isu bohong malu 01,116
desa bojong kulur kabupaten bogor menang 01,5
dukung 01 nalar  orang flat earth,31
paman gembul cak imin fuji desta day 6 brebes christmas indonesia morowali industrial park nyetrika,9
kerja rumah awal suara 01,20
teman partai buruh dukung 01,28
dukung 01 tolong terima informasi video foto narasi serang harap croscek main bagi dukung  mati akal sehat utama saring bagi,14
bang abang paksa 01 rekrut abdur,-1
bang abdur buzzer 01 wajar wajar,-1
01 dukung ngeri ngeri dukung uang,7
ledak 01,2
tor menurutlo beside 01  sisa pasang calon awal teman lgbt diskriminasi biar lgbt hak kayak,4
siap bocor tuju jatuh 01,-1
anies dukung kontrol dukung 01 petinggi suka sebar isu bohong,38
gen z melek yuk kuasa media tiktok 01,63
anies up kerja buzzer kerja sumber daya manusia rendah dukung 01 lo langsung lapor,20
01 terima  buzzernya tolol sebar isu bohong melulu sepatu mas gibran mic mas gibran pantat mas gibran jam mas gibran kena,3
bang kalem buzzer buzzer 01 tolol uang ngelak proyek bangun solo komparasi aceh papua gibran benar kerja hasil beda aceh,20
berhalu  fuad ketemu bapak nabi khidir nabi syth pilih pasang calon no 01 amin,3
01 amin sulawesi utara,7
anies sulit tipikal dukung salah alas pilih 01,123
01 embel embel umat islam indonesia dukung,121
anies lapor nama amin upaya pojok pasang calon nomor 01,148
buzzer 01 pilih pimpin rasional pikir,-1
maaf kak fokus pasang calon 01 positif biar cerna wawas bingung pilih gagas ide paham amin pimpin indonesia jagn kosong informasi media sosial salam ubah,135
dukung anies 01 pas debat jelek bilang jelek,8
01 amin pikir bicara substansi negara solusi selesai tuntas,13
tunggu data 01 kerah akun bot,127
menang pakek2 bazer sampah  freming negatif pasang calon 01 amin,5
to e koyok 01 gedabruss,2
gaperlu malu aku calon wakil presiden 01 sang duta kepret kena kepret calon wakil presiden ,0
01 surya paloh amin rais,7
ubah program program perintah bagus bagus lanjut 01 pilih gambar contoh,29
tshabangu 01 yakanakisa,-1
cari salah kurang gibran gibran kelas dekat menang idola 01 kena kepret,5
f8tnah isu bohong 01,116
dukung 01 cerdas agam laku tentang,2
larang ppendukung 01,-1
main korban strategi dukung 01 tuju omong beda,70
dukung 01 kiritis dukung bayar,-1
asli deserve 01 doang,-1
iqbal kenya makan enak melulu dukung 01 kasih makan ikan teri pilih logistik demo buruh demo makan enak,37
anies manis  ,64
main apik mas dukung pasang calon 01 sebar isu bohong fitnah masuk neraka,-1
survei jawa 7persen 01 heran kalong habib luthfi dukung prabowo,38
kurang utama pasang calon 01 logistik moga desak anies influence pengaruh insight pilih,187
anies dukung 02 mengekploitasi orang tinggal bawa bawa almarhum gus dur,52
selamat moga cita cita rakyat adil capai kpemimpinan 01 amin,-1
01 tadaima pulang okaeri selamat,7
dukung 01 kayak religius bawa nama tuhan,4
contoh dukung fanatik 01 kecewa cak imin lampias gibran lihat calon wakil presiden mu bu bawa baca sontek lepet sesuai harap bu,0
ngedumel kayak dukung prabowo serang isu ham prabowo wan angin serang jejak lekat dukung 01 serang prabowo girang serang takut,4
abbushoes by 01 higheil kepang kokop ardila 7cm dapat shopee,13
aceh pilih 01,23
abbushoes by 01 higheil kepang kokop ardila 7cm gerak cepat,-1
pokok puja puja bak dewa kritik tiga reaksi buzzer 01,21
kayak 01 twitter deh facebook kali instagram,27
benar bang kiai nu 01,143
new launch jmella in france blooming peony no 01 body wash habis,13
01 line nder undang,124
dukung 01 pedas omong ,-1
01 pusingin skripsi nder,7
dukung organik 01 aku  cari benar cek reply kutip twit cak imin,114
bagus besok undang media siar 01 sujud syukur menang polling,-1
01 menang indonesia maju negara bang serius pilih mula,103
oh ponakan ponakan ku sepupu circle pilih  gibran mantap 01,-1
anies presiden indonesia suriah wajar dukung pasang calon 01,189
plaka 01 mi,23
dahal kemarin serang imin orang goblok bilang akun buzzer 01 junjung problematik brok,-1
01 oposisi nasional demokrat partai bangkit bangsa tarik menteri kabinet,19
01 bibit bobot bebetnya,53
anak anak 01 nikah duit deh,101
video jawab ikn apa pasang calon 01 dengar jelas anies puter konkret dilanjutin apa ikn anies presiden inti dilanjutin tapi,95
pasti ikn tahan dana cair rugi kali rugi bisnis tunggu pilih selesai pasang calon 01 dana turun investasi cabut,-1
pasang calon 01 dana kampanye baliho buat rakyat cinta rakyat arb,12
auto ngitung anjing 01 lontang lantung menjombloo,-1
pokok apa dlkkn pasang calon 01 bahan lapor tindak beda lapor pasang calon mk ogah2an menindaklanjuti,3
jawa susah suara 01,11
periksa kemarin gibran lulus universitas negeri kursus kursus otak encer jago  01 ulti kasihan ulti  smasul  belimbing syaur hina malu ulti  anak muda,-1
wow bilang x kandang babi eh kandang 01 maksud hati hati nder,-1
tanda cair tkn kasus hensat cair2 01,-1
01 gagas sepak terjang bukti jakarta berani turun langsung temu masyarakat,-1
baca strategi arie keriting kiky saputri tugas gaet swing voter condong anies sok sok puji anis pindah haluan 02 harap swing voter dasar manusia manusia rendah,-1
01 menang otomatis gagal ber investasi ikn investor asing rugi kali duit platform dibully anjing,-1
calon presiden anies imin deh banding pasang calon pilih 01 calon wakil presiden blunder debat,22
dispenser dislepet tolonk 01 panggil kak,-1
01 00am jalan kucing,163
mantap maki dukung 01 meme cak imin otak kosong retweet buzzer prabowo ikut meme lord untung akun,-1
kepret 01 ah roman tenang,2
dukung 01 sepakat,2
masyarakat pakai x sentimen pasang calon 01 label jago omong kerja lekat masyarakat,20
serang buzzer 01 bang berani taruh mie ayam,-1
branding 01 lawan,198
netral malas pikir coblos 01 tanggal 14feb sulit,13
algoritmanya indikasi kubu lini isi parsoc ajeng kroni profesional 01,88
aduh halu banget  mayor teddy tugas komisi pemelihan sapu tangan kertas debat lihat prabowo buka catat rusak pasang calon 01 tanda baca bikin sakit mata hapus tuit,8
pilih tolong tambah suara pasang calon 01,11
menang 01 urusa bareng bareng,5
cepu aku dukung amin sebar hoaks misi masyarakat hilang simpati pasang calon 01,-1
o sanusi dukung 01 clear no drama drama,102
01 amin aia,-1
sentimen negatif dukung 01,75
kepret ketemu akun dukung 01 sebar isu bohong kasih nasihat ramai ramai twit,3
pindah kubu 01 daam,60
posisi survei 01 rendah buzzernya ngamuk ngamuk tuduh akun bot apa gilir menang survei percaya survei ,38
 iya pasang calon pokus lapang masalah dukung buzzer banyak buzzer 01 aduh ngeri hujat fitnah aneh sepatu gibran pakai pas acara debat masalah jadi bahan olok,8
skip  01,-1
 dukung 01 bikin isu bohong melulu kalah isu bohong bilang curang bilang ,-1
ubah  negara mas sila pilih sesuai hati mas 01 paksa,96
efek bahar smith bikin swing voter malas pilih 01 rusak anies kerjain kesal banget,136
himbauan dukung pasang calon 01 rang ekspektasinya pedenya banyak zikir monggo isi,-1
tertawa lucu dukung 01 ngeyakinin pindah haluan pakai pikir alir dana alir,3
nama kampanye calon wakil presiden 01,0
01 uang undang,7
bendahara 01,2
01 grup kelas,170
susah cari cela pasang 01 deh,-1
01 gang,7
01 full prabowo calon wakil presiden langsung mundur atur giean marketing lab,0
survei murni 01 hasil survei polling,38
maaf keluarga keliling dukung 01 bicara selamat natal hukum dosa,167
dukung 01 buzzer nyamat,-1
ayo habis peluru muntah 01 takut awoakawokawok,-1
fuck 01 plonga plongo,-1
suka bikin postingan pilih anies dukung  partai media sosial partai serang 01 beringas banget tugas ambil alih kiki,63
anies alas pilih 01  muak dukung,89
buzzer 01 kbnykan twitter haha,27
wm buzzer 01 gerak cepat banget nge up coba balik ngamuk ngamuk,13
buka ruang dialog laden sepenuh hati bisa peduli orang bilang anies laku sumber daya manusia elektabilitas rendah apa contoh kampanye sehat negara demokrasi all in 01,8
01 jayden pulang canada,-1
pencet 01,2
kaget kenal istri sumedang kaget urus uang pakai brilink in my humble opinion main warganet kaget 01 imin menang skor bagus menang at least angka bikin kaget,5
fajris 01,2
keren banget gila  stigma negatif anies masuk akal serang turut 01 standout,75
awokwok meme 01 muncul pas terbully sampah,-1
01 ribut ciwi ciwi,7
01 pikir nyelesaiin lms,7
partai adil sejahtera lawan partai bangkit bangsa sulit bahu bahu tertawa imin kubu 01 beban non partai bangkit bangsa,3
anies kayak buzzer 01 dana kampanye minim sewa buzzer kayak adu domba,4
anies ramai ramai akun langsung dukung 01 direport ramai ramai akun,-1
aku orang cerdas orang pintar pilih 01 bilang bodoh alias dungu,25
kalah bikin isu bohong 01 dokter tifa buzzer literasi anada,158
anies moga lancar lindung amin,-1
simpel bukti bikin 01 menang bukti indonesia tang anies,103
polling menang pasang 01 amin survei pragib unggul percaya polling survei,38
anies bayar mengendorse akun isu bohong diskredit dukung anies kiki black kampanye masuk positif niat bangun citra negatif dukung 01,75
orang rusia ukrainian war 01,31
biar tempo cari langgan kakap 01 misquin awoakawokawok,-1
pas jum at kemarin sales trading emas rumah paksa antar ciri ciri dukung 01 crypto ilegal trading emas halal salesnya pakai hijab ku maki maki ku kepret pakai serban,3
anies percaya anis laku baik jawa gambr kirim informasi terima jakarta pas anies jabat oke,-1
hati hati otot banget 01 halus main hati hati komen kutip naik grade dikomenin buzzer asam sulfat let si see,-1
visi misi pasang calon 01 amin laku usaha usaha,79
k tenang satu bobrok yf buruk insya allah 01 mudah jalan,84
tarik kali hak pilih jujur pakai malas tarik kali dengar argumen calon pimpin bicara ruang hidup gamblang 01,3
calon presiden calon wakil presiden 01 jack sparrow kapten barbosa rebut black pearl,0
mention bantu diviralkan isu bohong datang dukung kubu 01 mbak cantik langsung mention anies,3
ngegiring doang orang pilih anies dukung olah netral tembak kordinir simpatisan 01 jelek anies celah downgrade kampanye banget contoh desak anies,12
01 00am jalan bukit bintang,163
keren detail konkret banget plan depan pilih studi analisa lain aseli rugi banget 01 menang,-1
darjo februari selesai proyek provinsi mar cuti apr publish jurnal inter cuti jun bingung bayar ukt jul semhas 01 aug tim mekar provinsi sep jadi oct tim mekar provinsi november dec surprise yupien,3
orang orang 01 cerdas koo whyy ,31
roman kiblat 01 tinggal pilah pilih bahasa asa asa,13
01 upenyee hihi,7
bang dijelasin suka orang teknologi bicara 01 beda cerita omong,204
dukung 01 baca reply ngeri ngeri,180
tifa reken sekian persen dukung 01 model istilah sumbu pendek jadi rujuk sila tpp pilih presiden lihat orang kali mendowngrade ab gubris circlenya,-1
gabung gerindra tuju gabung pasang calon 01 tuju maklum pilih,3
herdian 01 mutiara kerut heels wanita sandal hak brukat realpic habis,-1
buzzer  muak strategi politik licik kiky pakai gaet swing pilih belagu dukung anies tipis jelek tipis tipis declare 02 manusia jujur,-1
komentar dukung pasang calon 01 pasty,21
anies  kubu sengaja bikin isu bohong nama kubu 01 buzzer mbak logika dukung sesuainyang dukung pikir sebar fakta data,44
tuding politik agama anies bikin wartawan abc news kagum calon presiden 01 wiirr senggol,10
boboo jam 01,-1
dukung 01 tolong,2
calon 01 akuin keren berani bikin acara bikin respect,-1
aduh parah  min amin 01,-1
anies hadap kritik masyarakat tiada capai bukti kompetensi,56
habis orang orang kerja rumah rakyat auto dukung 01 ,20
oh keri min amin 01 mantap,-1
amin 01 merdeka,2
sabar2 dukung 01 provokasi sampah,146
tuduh bukti aduh tipe dukung 01 banget,123
calon wakil presiden 01 npc liyue harbor gibran pikir bermenit2 pas prof mahfud geo,0
kabupaten bekas alas visi misi 01 implementatif pintu korupsi langgar,79
gibran hebat bikin dukung 01 3hari 3malam kemrungsung,-1
sst saran rawan 01 komen jaga akal sehat fokus menang,-1
keren banget yan  dana kampanye 01 rendah,12
01 kalah mami papi,7
 pilih kali uang ratus triliun lihat lawa doang 01 menang geger sudah menang telak putar musuh mk komisi pemelihan badan awas pilih partai partai,43
kencang ajak dukung 01 benar rekam jejak anies daerah khusus ibukota sebodo terus bangun era jokowi,-1
pikir 01 harap menang please henti mimpi,5
tiga min kejelekany 01 pilih nyatany kpemimpinan jakarta libelar anis,-1
ajar alam denial kampanye 01 jangkau pelosok rakyat internet hari sudah2 indonesia menang  hasil survey2 suka,12
suka anis komitmentnya sangan kuat salah atur sikat bodoh siapake cari calon presiden jaya susah yuk pilih 01,0
coba lip 01 dreamy,-1
kasih umpan dukung a esok b sangka otb odgj lain target utama anies celoteh salah menteri konaha jabat negeri api takut lihat masif dukung 01 kaum minor kiai,3
01 all out putar,113
dukung 01 isi fitnah tum,-1
kayak akur kubu 01,4
sumuhun kitu kula fakta lapang na mayoritas 01 kang,30
anies anies nahi,64
salah pj gubernur et salah 01 buzzerp sibuk nyebokin,42
teman buzzer 01 ,28
susup kumpul 01 kotor politik kotor kumpul tugas lawan golong putih,10
tim 01 langsung tertawa tertawa deh ,-1
modar sok netral serang dukung 01 bol bol,-1
indekos lumbung suara 01 kosong,11
yess promosi 01 bos mantap ngomong-ngomong mantap acara desak anies,-1
harga baris 01 bang,190
twit lihat tarik 01 kalang aku intelek kritis,21
dukung 01 mohon abai mbak,-1
bu dok kampanye model jalan x model makan wrga pesbuk please dok fokus visi misi pasang calon isu bohong fakta wrga x pintar memilah2 informasi fokus visi misi gagas 01 ilg suara,161
masuk akal enak jasa top 01,-1
01 kemarin offside lumayan ngegass unyu unyu doang panjat sosial omong netral balas bajer,-1
01 sibuk cuci,7
gila qrt pilih 01,23
bangga dukung 01 dukung usak konstitusi,87
jare sapa orang cirebon palimanan pilih nomer 01,31
libur biar liburanya bahagia mr uil e uang sobat tebak nama produk ikut give away check akun youtube dibio  admin tunggu jawab 01 januari,14
ngejak2 ira  pilih nomer 01,182
01 man doang bukti,7
calon presiden 01 bohong juara,-1
tim sorak 01 bayar lancar,2
tvone kiky riweh 01 netral,-1
kayak pilih 01,4
fan 01 mayoritas rakyat garis waras kecam drama mk paham,58
cari panggung panggung rawan salah paalon wajar bikin isu bohong benar dukung 01 jadi,-1
politik alir 01 kritis perintah langsung cap kadrun radikal radikul,10
pindah 01 ikut hati jeng,-1
malas klik laman berita kiki dukung 01 nama cemar gerombol sebar isu bohong oknum atas nama dukung anies sengaja sebar isu bohong aku dukung anies biar nama anies jelek,3
gilir kiayi ustaz bicara bilang politik identitas contoh uji semester pas deklarasi dukung 01 narasi politik identitas kencang banget padhal hak warga negara dukung,10
bagus  aja pakai narasi tuduh dukung 01 bijak publik figur,-1
bangun manunggal tentara nasional indonesia rakyat gotong royong babinsa komando rayon militer 01 bangli warga  salur irigasi,49
tim pasang calon 01 produsen isu bohong negeri  ngeri ahli olah kartu tanda duduk angin lebih bayar sgie,-1
ayo susul 01,2
rancang undang undang dkj wilayah kota bekas masuk jakarta tilik gagas amin jakarta kembang kawasan bodetabek didetilkan bekas bagi desak anies,26
01 banget sebar isu bohong kayak buzzer2nya  dukung makan sebar gimanna makan siang gratis minum susu,57
roadmap pusat program 01 salah standar kota maju mana transport publik fasum banyak sedia air pada giat ekonomi tumbuh stabil rata,29
ide 01 gerak ikhtiar moga tuhan rida amin,-1
pikir pasang ceruk pilih tinggal anies menyakinkan pilih pengaruh sosok imin pilih imin pengaruh sosok anies now tonton pilih imin,26
 pilih 01 wakanda no more indonesia forever,34
karanta kakak qaru 01 wanda fara yin azumi aduniya shine annabi adam alaihis salam kasance yana azumtar kwanaki uku akowanne wata mala alaihimus salam sune suka fara yin dawafi adakin kakak ayah tun kafin,3
gus imin debat ih calon wakil presiden tampil kereng ngarek gppa gus kick  samsul sok intelek barakallahu fii umrik,15
ala takut tag prabowo 01 taq,-1
sederhana bikin dukung 01 marah,-1
ruang diskusi pelihara jikalo 01 menang,5
senang dokter 01,-1
tololl terima informasi doang bodoh pendukhng ganjar lihat 01 gedek terima kali kalah hem tolol keras kepala,3
maaf main tiktok amat alhamdulillah 01 kuasa tiktok,68
bicara politik ah pasang 01 tarik anies bawa segar dunia politik runyam kaget pilih calon wakil presiden blunder suara jawa jawa timur partai bangkit bangsa,10
anies denial akun umpan lambung akun dukung 01 up narasi isu bohong enggak arah pusat timnas amin,80
01 benci jokowi kecewa prabowo harap real,30
blunder sekian calon wakil presiden 01 mohon timsesnya arah bicara gerogot oleh suara anies,0
nama suka bolos pas kantin suka makan angin salut anies beliau buka kali kali  mahasiswa baru tonton bodoh,-1
in sha allah amin 01 satu indonesia,34
tunjuk bukti deh calon wakil presiden beliau cerita podcasts proses bacawapres calon wakil presiden anies sahih mulut cak imin cerita,-1
kampanye anies standard pilih presiden indonesia dialog kalang masyarakat bangsa gagas solusi cerah rakyat hak wajib negara demokrasi,-1
awas denny anies main kotor prabowo ganjar lolos putar pilih presiden,41
menyebarluaskan video desak anies golong grass root melek pilih presiden contoh obrol santai bareng,-1
track record anies meemenuhi janji kait reklamasi teluk jakarta gubernur daerah khusus ibukota optimis jikaa beliau menang pilih presiden janji beliau ikn sat set tuntas dituunaikan,-1
anies pilih presiden mahal saudara laki buang duit potensi pilih dana orang potensi pilih orang bijak setir sesuai penting partai pribadi tugas partai boneka politik,74
